,ID,Age,Home,Type,Interaction Modifier
5669,8838,84,4218,pensioner,1
5670,249,41,118,adult,1
5671,3093,64,1436,adult,1
5672,6765,56,3232,public_worker,1
5673,8837,86,4218,pensioner,1
5674,6763,26,3232,adult,1
5675,9404,7,4504,under_age,1
5676,3186,15,1489,under_age,1
5677,9405,27,4504,adult,1
5678,3187,42,1489,public_worker,1
5679,253,13,119,under_age,1
5680,3091,25,1436,adult,1
5681,8839,20,4219,adult,1
5682,6764,58,3232,adult,1
5683,3188,38,1489,public_worker,1
5684,255,38,119,adult,1
5685,3092,54,1436,adult,1
5686,9410,46,4506,adult,1
5687,8840,50,4219,adult,1
5688,3190,43,1490,adult,1
5689,254,37,119,adult,1
5690,6766,6,3233,under_age,1
5691,6768,43,3233,adult,1
5692,9409,22,4506,adult,1
5693,3094,60,1437,adult,1
5694,3191,50,1490,adult,1
5695,251,1,119,under_age,1
5696,8841,79,4220,pensioner,1
5697,9411,56,4506,adult,1
5698,6767,8,3233,under_age,1
5699,252,8,119,under_age,1
5700,3095,59,1437,adult,1
5701,3189,19,1490,adult,1
5702,8843,42,4221,adult,1
5703,6769,46,3233,adult,1
5704,250,1,119,under_age,1
5705,9407,13,4506,under_age,1
5706,3096,39,1438,adult,1
5707,8842,43,4221,adult,1
5708,9408,15,4506,under_age,1
5709,3193,94,1491,pensioner,1
5710,257,57,120,adult,1
5711,6770,83,3234,pensioner,1
5712,3192,77,1491,pensioner,1
5713,9412,27,4507,adult,1
5714,258,61,120,adult,1
5715,3097,21,1439,adult,1
5716,8844,81,4222,pensioner,1
5717,6773,34,3235,adult,1
5718,3195,83,1492,pensioner,1
5719,9414,55,4507,adult,1
5720,3194,72,1492,pensioner,1
5721,256,27,120,adult,1
5722,8845,37,4223,adult,1
5723,6772,27,3235,public_worker,1
5724,3098,43,1440,adult,1
5725,3196,41,1493,public_worker,1
5726,9413,54,4507,adult,1
5727,6771,0,3235,under_age,1
5728,3198,48,1494,adult,1
5729,260,61,121,adult,1
5730,3099,44,1440,adult,1
5731,8846,27,4224,adult,1
5732,6774,57,3236,adult,1
