,building,geometry,amenity,shop,leisure,building:levels,name,building_coordinates_x,building_coordinates_y,building_area,neighbourhood
158694829,yes,"POLYGON ((9.721133999999999 51.2303105, 9.7210299 51.2305641, 9.7210176 51.2305941, 9.720699700000001 51.230543, 9.7208161 51.2302594, 9.721133999999999 51.2303105))",,,,,,9.720916847219753,51.23042674878423,9.610261999863738e-08,0
163584428,yes,"POLYGON ((9.695100500000001 51.2146242, 9.695110700000001 51.2146502, 9.6947659 51.2147032, 9.6948095 51.2148145, 9.6950033 51.2147847, 9.6950106 51.2148033, 9.695586 51.2147148, 9.695546200000001 51.2146134, 9.6956892 51.2145914, 9.6957697 51.2147966, 9.6959737 51.2147652, 9.6958462 51.21444, 9.695424300000001 51.2145049, 9.695449999999999 51.2145704, 9.695100500000001 51.2146242))",,,,,,9.695447201621255,51.214651487438346,2.0756090999942413e-07,1
163584429,yes,"POLYGON ((9.6971054 51.2148884, 9.6971097 51.214945, 9.6972661 51.2149403, 9.6972618 51.2148837, 9.6971054 51.2148884))",,,,,,9.697185749999997,51.214914349999994,8.872450000083065e-09,1
163584430,yes,"POLYGON ((9.6974628 51.214248, 9.6974596 51.2143074, 9.6977574 51.2143136, 9.697760499999999 51.2142542, 9.6974628 51.214248))",,,,,,9.697610074043082,51.21428080164254,1.7705880000378936e-08,1
163584431,yes,"POLYGON ((9.6961203 51.2143584, 9.6958821 51.2144034, 9.6959187 51.2144793, 9.6961569 51.2144342, 9.6961203 51.2143584))",,,,,,9.696019476584654,51.214418830708915,1.9716299999586415e-08,1
163584432,yes,"POLYGON ((9.697435499999999 51.2148355, 9.6974403 51.214906, 9.6976116 51.2149014, 9.6976067 51.2148309, 9.697435499999999 51.2148355))",,,,,,9.697523525778308,51.21486845340975,1.2095434999939313e-08,1
163584433,yes,"POLYGON ((9.696157599999999 51.2149925, 9.6959442 51.2150345, 9.695986400000001 51.2151188, 9.6961998 51.2150768, 9.696157599999999 51.2149925))",,,,,,9.696072000000001,51.21505565,1.9762019999515992e-08,1
163584434,yes,"POLYGON ((9.6962394 51.2143506, 9.696272 51.2144185, 9.696520100000001 51.2143718, 9.696487599999999 51.214304, 9.6962394 51.2143506))",,,,,,9.696379741266288,51.21436123015621,1.835543500026514e-08,1
163584435,yes,"POLYGON ((9.6965868 51.2149537, 9.6963834 51.214991, 9.6964188 51.2150668, 9.6966223 51.2150295, 9.6965868 51.2149537))",,,,,,9.696502830114229,51.215010252167154,1.674379500017365e-08,1
163584436,yes,"POLYGON ((9.696626500000001 51.2142698, 9.6966447 51.2143468, 9.696930099999999 51.2143204, 9.6969119 51.2142433, 9.696626500000001 51.2142698))",,,,,,9.696778330083312,51.214295071680546,2.2471460000377205e-08,1
163584437,yes,"POLYGON ((9.6970533 51.2142325, 9.6970533 51.2143024, 9.6973337 51.2143024, 9.6973337 51.2142325, 9.6970533 51.2142325))",,,,,,9.6971935,51.21426745,1.9599959999883726e-08,1
163584438,yes,"POLYGON ((9.6978008 51.2147721, 9.697736799999999 51.2148057, 9.6977884 51.2148442, 9.6976836 51.2148993, 9.697756699999999 51.2149539, 9.697925400000001 51.2148653, 9.6978008 51.2147721))",,,,,,9.697802411901375,51.2148666430292,1.9892379999980855e-08,1
163584439,yes,"POLYGON ((9.696954099999999 51.2149102, 9.6968075 51.2149355, 9.6967856 51.214886, 9.696698899999999 51.214901, 9.696745999999999 51.2150075, 9.696979199999999 51.2149671, 9.696954099999999 51.2149102))",,,,,,9.696826348308758,51.21494891778203,1.8921735000059653e-08,1
165345411,yes,"POLYGON ((9.6939952 51.2243816, 9.6940218 51.2242703, 9.694306600000001 51.224297, 9.694279999999999 51.2244083, 9.6939952 51.2243816))",,,,,,9.6941509,51.224339300000004,3.2408460000133926e-08,0
165345412,yes,"POLYGON ((9.693997400000001 51.2241575, 9.69354 51.224111, 9.693501599999999 51.2242591, 9.693959 51.2243056, 9.693997400000001 51.2241575))",,,,,,9.693749500000003,51.22420830000001,6.952654000031607e-08,0
165345413,yes,"POLYGON ((9.6945215 51.2246063, 9.6945684 51.2243966, 9.6943343 51.2243761, 9.6942874 51.2245857, 9.6945215 51.2246063))",,,,,,9.694427908759694,51.224491177438466,5.0042859999618744e-08,0
165345414,yes,"POLYGON ((9.694775099999999 51.2248649, 9.6947668 51.2245572, 9.6955381 51.224549, 9.6955437 51.2247542, 9.6950796 51.2247591, 9.695082299999999 51.2248617, 9.694775099999999 51.2248649))",,,,,,9.695117402888927,51.224681647475755,1.8982566999861128e-07,0
165345587,yes,"POLYGON ((9.6973336 51.2244145, 9.6968347 51.2244542, 9.696812299999999 51.2243439, 9.6973112 51.2243042, 9.6973336 51.2244145))",,,,,,9.697072950000003,51.22437920000001,5.591794999968522e-08,0
165346533,yes,"POLYGON ((9.7005436 51.2230931, 9.699804 51.223497, 9.699644599999999 51.2233826, 9.7003842 51.2229786, 9.7005436 51.2230931))",,,,,,9.700094129165036,51.22323780727483,1.49036850001759e-07,0
165346534,yes,"POLYGON ((9.7007124 51.2251827, 9.7004223 51.2253505, 9.7007273 51.2255573, 9.7006373 51.2256094, 9.7002162 51.2253239, 9.700596300000001 51.225104, 9.7007124 51.2251827))",,,,,,9.700489421914359,51.22534024563967,8.99436450003735e-08,0
165346535,yes,"POLYGON ((9.697356900000001 51.2239284, 9.6972349 51.2235987, 9.696907400000001 51.2236462, 9.696964599999999 51.223801, 9.697140299999999 51.2237755, 9.697205 51.2239505, 9.697356900000001 51.2239284))",,,,,,9.697150950564554,51.22375216660518,8.141852500175724e-08,0
165346536,yes,"POLYGON ((9.6927827 51.2235178, 9.6922672 51.2234654, 9.6922912 51.2233726, 9.6928068 51.2234249, 9.6927827 51.2235178))",,,,,,9.692537024943766,51.22344517895931,4.912783500260689e-08,0
165346537,yes,"POLYGON ((9.694896399999999 51.2239714, 9.6949507 51.2236654, 9.694763399999999 51.2236524, 9.6947092 51.2239584, 9.694896399999999 51.2239714))",,,,,,9.6948299277347,51.2238118865717,5.800375000042659e-08,0
