,building,geometry,amenity,healthcare,healthcare:speciality,building:levels,school_type,type,members,building_coordinates_x,building_coordinates_y,building_area,neighbourhood
107951889,yes,"POLYGON ((5.9971217 50.9882819, 5.9971112 50.9881675, 5.9971733 50.988166, 5.9972226 50.9881651, 5.9972333 50.9882795, 5.9971217 50.9882819))",,,,,,,,5.997172199693174,50.98822347659181,1.279006999952502e-08,1
107952065,yes,"POLYGON ((5.9964141 50.988516, 5.9964096 50.9885072, 5.9964035 50.9885085, 5.9963678 50.9884389, 5.9964765 50.9884163, 5.9965123 50.9884856, 5.9964479 50.9884992, 5.9964523 50.988508, 5.9964141 50.988516))",,,,,,,,5.996439619038389,50.988464278867625,8.740165000223443e-09,1
107952210,residential,"POLYGON ((5.9959352 50.988651, 5.996039 50.9886217, 5.9959851 50.9885507, 5.9958832 50.9885806, 5.9959352 50.988651))",,,,2,,,,5.995960790573756,50.98860103544661,8.838815000090349e-09,1
107952782,yes,"POLYGON ((5.9949622 50.9887234, 5.9949152 50.9886971, 5.9949622 50.9886653, 5.9950075 50.9886938, 5.9949622 50.9887234))",,,,,,,,5.994961633333334,50.98869472679668,2.6813149998394075e-09,1
107958162,yes,"POLYGON ((5.9931644 50.9882497, 5.993227 50.9882693, 5.9932463 50.9882404, 5.9931868 50.9882208, 5.9931644 50.9882497))",,,,,,,,5.993205911112262,50.98824510362216,2.173004999822309e-09,1
107959475,yes,"POLYGON ((5.9919552 50.9871882, 5.9919828 50.9871379, 5.9920368 50.9871495, 5.9920092 50.9871999, 5.9919552 50.9871882))",,,,,,,,5.991996005904409,50.98716888053308,3.0404399999820364e-09,1
107959477,yes,"POLYGON ((5.9912347 50.9873398, 5.9912851 50.9873514, 5.9913007 50.9873246, 5.9912503 50.987313, 5.9912347 50.9873398))",,,,,,,,5.9912677,50.9873322,1.5316800000420816e-09,1
107959479,yes,"POLYGON ((5.9911404 50.9873963, 5.991198 50.9874092, 5.9912209 50.9873687, 5.9911634 50.9873558, 5.9911404 50.9873963))",,,,,,,,5.991180669696173,50.98738250467559,2.6268300000054e-09,1
107959481,yes,"POLYGON ((5.9910089 50.9873964, 5.9910402 50.9873679, 5.9910855 50.9873898, 5.9910559 50.9874161, 5.9910089 50.9873964))",,,,,,,,5.99104737489554,50.98739240042241,1.8978699997926798e-09,1
107959492,yes,"POLYGON ((5.9910501 50.9875036, 5.9910988 50.9875135, 5.991118 50.9874751, 5.9910692 50.9874653, 5.9910501 50.9875036))",,,,,,,,5.9910840380552814,50.98748937435579,2.058190000053965e-09,1
107959498,yes,"POLYGON ((5.9913039 50.9877469, 5.9913457 50.9876802, 5.9914365 50.9877029, 5.9913948 50.9877695, 5.9913039 50.9877469))",,,,,,,,5.991370211488371,50.98772487391536,7.000789999815084e-09,1
107959814,yes,"POLYGON ((5.9918954 50.9863701, 5.9919376 50.9862275, 5.9919848 50.9862332, 5.9920243 50.9862381, 5.9920415 50.9862411, 5.9920269 50.9862807, 5.9920165 50.9863223, 5.9920014 50.9863817, 5.9918954 50.9863701))",,,,,,,,5.991968060716958,50.98630512623295,1.519416500024188e-08,1
107959817,yes,"POLYGON ((5.9928632 50.9863722, 5.9928596 50.9863666, 5.9927203 50.9864007, 5.9927234 50.9864061, 5.9927188 50.9864075, 5.9926623 50.9863148, 5.9928058 50.9862794, 5.9928039 50.986276, 5.9928839 50.9862564, 5.9929431 50.9863528, 5.9928632 50.9863722))",,,,,,,,5.992803595429301,50.98633075675861,2.3327209999266e-08,1
107973920,yes,"POLYGON ((5.9881919 50.9869758, 5.9881878 50.986982, 5.9879757 50.986926, 5.9879784 50.986922, 5.9877594 50.9868641, 5.9878819 50.9866764, 5.9881835 50.9862151, 5.9882507 50.9861126, 5.9884729 50.9861719, 5.9884754 50.986168, 5.9892156 50.9863653, 5.9892094 50.9863747, 5.9892557 50.986387, 5.9892506 50.9863946, 5.9892955 50.9864066, 5.98929 50.9864151, 5.989201 50.9865495, 5.9891098 50.9866868, 5.9888099 50.9871391, 5.9881919 50.9869758))",,,,,,,,5.9885305569232425,50.986626004124446,9.277525849995973e-07,1
107982373,yes,"POLYGON ((6.0000607 50.9877351, 6.0001287 50.9877543, 6.0001575 50.9877138, 6.0000895 50.9876946, 6.0000607 50.9877351))",,,,,,,,6.0001091,50.98772445,3.3069600000927546e-09,1
107988166,yes,"POLYGON ((6.0018322 50.9872764, 6.0018891 50.9872035, 6.0019985 50.9872375, 6.0019416 50.9873104, 6.0019399 50.9873101, 6.0018916 50.987295, 6.0018338 50.9872771, 6.0018322 50.9872764))",,,,,,,,6.001915297054546,50.98725702093523,9.928980000262096e-09,1
107988170,yes,"POLYGON ((6.0016054 50.987268, 6.0016926 50.9871478, 6.0017897 50.9871759, 6.0017026 50.9872961, 6.0016054 50.987268))",,,,,,,,6.001697567209979,50.987221958057305,1.4126344999930826e-08,1
108007052,yes,"POLYGON ((6.002103 50.9873604, 6.0020943 50.9873724, 6.0020392 50.9873564, 6.0021009 50.9872713, 6.002232 50.9873092, 6.0021791 50.9873823, 6.0021238 50.9873663, 6.002103 50.9873604))",,,,,,,,6.002135510146,50.98732884730453,1.2396444999636004e-08,1
108007054,yes,"POLYGON ((6.0022573 50.9874103, 6.0023084 50.9873436, 6.0024248 50.9873792, 6.0023736 50.9874459, 6.0022573 50.9874103))",,,,,,,,6.00234103156976,50.98739474723292,9.581484999579981e-09,1
108007055,yes,"POLYGON ((6.0025521 50.9876846, 6.0026269 50.9877046, 6.0026528 50.9876711, 6.002578 50.9876502, 6.0025521 50.9876846))",,,,,,,,6.002602329666532,50.98767756613209,3.069115000204592e-09,1
108007058,yes,"POLYGON ((6.0026457 50.9876, 6.0026642 50.9875744, 6.002667 50.9875706, 6.0026751 50.9875728, 6.0026752 50.987573, 6.0027043 50.9875327, 6.00282 50.9875663, 6.0027695 50.9876358, 6.0027003 50.9876153, 6.0026457 50.9876))",,,,,,,,6.002734781453743,50.98758424581971,9.99943000001343e-09,1
108007059,yes,"POLYGON ((6.0020541 50.9876222, 6.0021156 50.9876391, 6.0020844 50.9876839, 6.0020213 50.9876665, 6.0020336 50.9876484, 6.0020541 50.9876222))",,,,,,,,6.002068549363426,50.98765297071241,3.348660000219209e-09,1
108007060,yes,"POLYGON ((6.0022661 50.9877095, 6.0022284 50.9877581, 6.0023345 50.9877899, 6.0023697 50.9877364, 6.0022661 50.9877095))",,,,,,,,6.002300129305867,50.987748845558365,6.422400000045353e-09,1
