,building,geometry,amenity,shop,building:levels,name,building_coordinates_x,building_coordinates_y,building_area,neighbourhood
89337461,yes,"POLYGON ((12.4168065 51.8182859, 12.4170219 51.8183089, 12.4170472 51.818218, 12.4168318 51.8181951, 12.4168065 51.8182859))",,,,,12.416926868923776,51.818251977995054,2.0149724999945214e-08,0
89337469,yes,"POLYGON ((12.4179949 51.8176615, 12.4178835 51.8179967, 12.4180862 51.8180224, 12.4181976 51.8176872, 12.4179949 51.8176615))",,,,,12.41804055,51.81784195,7.080801999921599e-08,0
89337470,yes,"POLYGON ((12.4146971 51.8181023, 12.4146695 51.818185, 12.4151374 51.8182447, 12.415165 51.818162, 12.4146971 51.8181023))",,,,,12.414917249999998,51.81817349999999,4.0343050000063735e-08,1
89337476,yes,"POLYGON ((12.4178686 51.8181987, 12.4180915 51.8182262, 12.4181423 51.8180691, 12.4179195 51.8180415, 12.4178686 51.8181987))",,,,,12.418005460995793,51.81813387724374,3.642179499974723e-08,0
89337479,yes,"POLYGON ((12.4112433 51.8174974, 12.4110733 51.8174679, 12.4109693 51.8176975, 12.4111393 51.8177269, 12.4112433 51.8174974))",,,,,12.411106296419263,51.81759741928165,4.208630000015734e-08,1
89337485,yes,"POLYGON ((12.4166505 51.8183364, 12.4166951 51.8181757, 12.4166132 51.8181671, 12.4165687 51.8183278, 12.4166505 51.8183364))",,,,,12.4166318798407,51.81825173414738,1.3536425000218463e-08,0
89337490,yes,"POLYGON ((12.4162717 51.8182033, 12.4164648 51.8182308, 12.4164916 51.8181591, 12.4162985 51.8181315, 12.4162717 51.8182033))",,,,,12.416381629117437,51.81818117086407,1.4593265000125365e-08,0
89337492,yes,"POLYGON ((12.414192 51.8176936, 12.4144446 51.8177258, 12.4144707 51.8176473, 12.4142182 51.8176151, 12.414192 51.8176936))",,,,,12.414331370893299,51.81767045206664,2.0667205000207012e-08,1
89337493,yes,"POLYGON ((12.4142514 51.8178635, 12.4141341 51.8178496, 12.4140969 51.817969, 12.4142143 51.8179829, 12.4142514 51.8178635))",,,,,12.414174171520004,51.81791625806672,1.4527974999334538e-08,1
89337499,yes,"POLYGON ((12.4107902 51.8174377, 12.4106345 51.8174308, 12.4106197 51.8175594, 12.4107754 51.8175662, 12.4107902 51.8174377))",,,,,12.410704940048253,51.817498523770055,2.011661500044856e-08,1
89337504,yes,"POLYGON ((12.4029316 51.8080911, 12.4032101 51.8079978, 12.403139 51.8079166, 12.4028605 51.8080099, 12.4029316 51.8080911))",,,,,12.4030353,51.808003850000006,2.9247830000214578e-08,1
89337510,yes,"POLYGON ((12.4069864 51.8032345, 12.4072568 51.8031973, 12.4071082 51.802784, 12.4068379 51.8028211, 12.4069864 51.8032345))",,supermarket,,Penny,12.407047326451424,51.803009242120694,1.1726780500018928e-07,1
89337514,yes,"POLYGON ((12.4149051 51.8177671, 12.4152319 51.8177992, 12.4152505 51.8177269, 12.4149237 51.8176947, 12.4149051 51.8177671))",,,,,12.415077763406346,51.81774697092568,2.424197000123779e-08,1
89337515,yes,"POLYGON ((12.4106714 51.8178509, 12.4111245 51.8178279, 12.4111113 51.8177284, 12.4106582 51.8177513, 12.4106714 51.8178509))",,,,,12.410891312355997,51.81778962714949,4.5409045000712816e-08,1
89337521,yes,"POLYGON ((12.4169922 51.8180701, 12.4170368 51.817914, 12.4169033 51.8178995, 12.4168587 51.8180556, 12.4169922 51.8180701))",,,,,12.41694775,51.817984800000005,2.1486049999628454e-08,0
89337530,yes,"POLYGON ((12.4137241 51.8178406, 12.4137047 51.8179221, 12.4139572 51.8179451, 12.4139766 51.8178635, 12.4137241 51.8178406))",,,,,12.413840675106986,51.817892827922265,2.1036605000325378e-08,1
89337541,yes,"POLYGON ((12.4181732 51.8182492, 12.4183567 51.8182776, 12.4184161 51.8181306, 12.4182326 51.8181023, 12.4181732 51.8182492))",,,,,12.418294658768064,51.818189929052174,2.8649314999891125e-08,0
89337543,yes,"POLYGON ((12.4130705 51.8175421, 12.413115 51.817409, 12.4130065 51.8173951, 12.4129619 51.8175282, 12.4130705 51.8175421))",,,,,12.41303847088597,51.817468609691204,1.506724999978235e-08,1
89337548,yes,"POLYGON ((12.4152987 51.8178222, 12.4156849 51.8178727, 12.4157093 51.8178015, 12.4153231 51.817751, 12.4152987 51.8178222))",,,,,12.415504,51.81781185,2.872964000031162e-08,1
89337560,yes,"POLYGON ((12.4131373 51.8177212, 12.4131138 51.8178522, 12.4133143 51.817866, 12.4133379 51.817735, 12.4131373 51.8177212))",,,,,12.41322582683374,51.81779359468282,2.6597039999941478e-08,1
89341310,yes,"POLYGON ((12.4230627 51.7964413, 12.423147 51.7963512, 12.4229733 51.796289, 12.422889 51.7963791, 12.4230627 51.7964413))",,,,,12.423017999999999,51.79636515000001,2.0893829999827477e-08,1
89341321,yes,"POLYGON ((12.4148896 51.7963376, 12.4150712 51.7962672, 12.4147646 51.7959649, 12.414583 51.7960354, 12.4148896 51.7963376))",,,,,12.414827093351404,51.796151263509884,7.648856999967897e-08,1
89341327,yes,"POLYGON ((12.415225 51.796628, 12.4154713 51.7965214, 12.4153371 51.7964029, 12.4150908 51.7965095, 12.415225 51.796628))",,,,,12.415281049999999,51.796515449999994,4.34922700005623e-08,1
89341344,yes,"POLYGON ((12.4135865 51.796711, 12.4131936 51.7963199, 12.4130057 51.7963921, 12.4133985 51.7967832, 12.4135865 51.796711))",,,,,12.41329608867854,51.796551562086066,1.0187101499956514e-07,1
89341356,yes,"POLYGON ((12.4235993 51.7965646, 12.423467 51.7965122, 12.4233444 51.7966307, 12.4234767 51.7966831, 12.4235993 51.7965646))",,,,,12.423471850000002,51.79659765000001,2.210179000003253e-08,1
89341359,yes,"POLYGON ((12.4119126 51.8032817, 12.412333 51.8031864, 12.4120168 51.8026531, 12.4115964 51.8027484, 12.4119126 51.8032817))",,,,,12.4119647,51.80296740000001,2.5433317999944696e-07,1
89341365,yes,"POLYGON ((12.4125037 51.7966043, 12.4125689 51.7966567, 12.4126935 51.7965974, 12.4126283 51.796545, 12.4125037 51.7966043))",,,,,12.4125986,51.796600850000004,1.0395399999907073e-08,1
89341375,yes,"POLYGON ((12.4126696 51.8030861, 12.4130419 51.8029991, 12.4127613 51.8025402, 12.4123891 51.8026272, 12.4126696 51.8030861))",,,,,12.412715481877672,51.80281315866571,1.9523337499936268e-07,1
89341376,yes,"POLYGON ((12.4232927 51.7964555, 12.4232117 51.7965223, 12.4233344 51.7965792, 12.4234153 51.7965124, 12.4232927 51.7964555))",,,,,12.423313516935455,51.79651735079734,1.279907499969019e-08,1
89341379,yes,"POLYGON ((12.4193854 51.7962792, 12.4195525 51.7962236, 12.4195921 51.7962691, 12.419737 51.7962209, 12.4196525 51.7961237, 12.4195932 51.7961434, 12.4195049 51.796042, 12.4192522 51.7961261, 12.4193854 51.7962792))",,,,,12.419485073917887,51.79616892961215,6.235416999993855e-08,1
89341387,yes,"POLYGON ((12.414353 51.7960235, 12.414226 51.795918, 12.413402 51.7962973, 12.413529 51.7964028, 12.414353 51.7960235))",,,,,12.413877499999996,51.79616039999999,1.351031000006702e-07,1
89346503,yes,"POLYGON ((12.3546131 51.802994, 12.3550287 51.8029642, 12.3547943 51.8017128, 12.3540759 51.8017641, 12.3541232 51.8020166, 12.3544261 51.8019949, 12.3546131 51.802994))",,,,,12.354645695960317,51.80229265091096,6.044844600006428e-07,2
89346506,yes,"POLYGON ((12.3456157 51.810947, 12.3461565 51.8108324, 12.3460963 51.8107237, 12.3455554 51.8108383, 12.3456157 51.810947))",,,,,12.345855966306983,51.81083535016712,6.569504500094353e-08,2
89346510,yes,"POLYGON ((12.3458125 51.805876, 12.3470962 51.8056198, 12.3469785 51.8053943, 12.3456948 51.8056503, 12.3458125 51.805876))",,,,,12.346395414826459,51.80563511852038,3.197456899952471e-07,2
89346513,yes,"POLYGON ((12.3417627 51.8290992, 12.3420138 51.8290471, 12.3419553 51.8289393, 12.3417042 51.8289914, 12.3417627 51.8290992))",,,,,12.341859,51.82901925,3.01164299996822e-08,3
89346515,yes,"POLYGON ((12.3436094 51.8104213, 12.3435785 51.8099723, 12.3433471 51.8099783, 12.343378 51.8104273, 12.3436094 51.8104213))",,,,,12.34347825,51.81019979999999,1.0408400000056849e-07,2
89346519,yes,"POLYGON ((12.3344905 51.8145681, 12.3345466 51.8146606, 12.3347048 51.8146239, 12.3346487 51.8145315, 12.3344905 51.8145681))",,,,Alfred-Hinsche-Haus,12.334597639069813,51.814596030487316,1.6681655000293734e-08,2
89346526,yes,"POLYGON ((12.3463376 51.8051148, 12.3466157 51.8046085, 12.3463617 51.8045551, 12.3460835 51.8050615, 12.3463376 51.8051148))",,,,,12.346349616777527,51.80483498075869,1.434775199988686e-07,2
89346534,yes,"POLYGON ((12.3456397 51.8051615, 12.3458817 51.8052097, 12.3461907 51.8046174, 12.3459488 51.8045691, 12.3456397 51.8051615))",,,,,12.345915216691049,51.80488943310055,1.582307449989146e-07,2
89346545,yes,"POLYGON ((12.3523653 51.8059231, 12.3522962 51.8057875, 12.3518597 51.8058732, 12.3519383 51.8060076, 12.3523653 51.8059231))",,,,,12.352114582536112,51.80589764300215,6.457088500008858e-08,2
89346546,yes,"POLYGON ((12.4138303 51.8300928, 12.4137376 51.8303845, 12.4139403 51.8304091, 12.414033 51.8301174, 12.4138303 51.8300928))",,,,,12.413885299999997,51.83025094999999,6.140800999929981e-08,0
89346550,office,"POLYGON ((12.3556425 51.8089585, 12.3560812 51.8088648, 12.3560293 51.8087508, 12.3557729 51.8088003, 12.3556425 51.8089585))",,,,Bürogebäude,12.355878275413474,51.808849792218076,4.449125500078502e-08,2
89346551,industrial,"POLYGON ((12.3445897 51.8089585, 12.3445103 51.8088114, 12.3436076 51.8089977, 12.34384 51.8094279, 12.3444275 51.8093066, 12.3445126 51.8094644, 12.3448156 51.8094018, 12.3449321 51.8096176, 12.3449492 51.8096493, 12.3454489 51.8095462, 12.3454896 51.8096217, 12.3457331 51.8095714, 12.3456946 51.8095001, 12.3457248 51.8094938, 12.3457628 51.8095642, 12.3463869 51.8094353, 12.3463502 51.8093674, 12.3468412 51.809266, 12.3467229 51.809047, 12.3465394 51.8090849, 12.3464838 51.8089818, 12.3466601 51.8089454, 12.3466346 51.8088981, 12.3464595 51.8089343, 12.3463661 51.8087613, 12.3464182 51.8087505, 12.3463358 51.808598, 12.3445897 51.8089585))",,,,Füngers Feinkost,12.345312562777028,51.80914510509843,1.9229479299926933e-06,2
89346554,yes,"POLYGON ((12.3426688 51.8076196, 12.3429497 51.8075995, 12.3428572 51.8071091, 12.3425763 51.8071294, 12.3426688 51.8076196))",,,,,12.3427630083992,51.80736439390769,1.395937700008884e-07,2
