,building,geometry,amenity,shop,leisure,sport,building:levels,building_coordinates_x,building_coordinates_y,building_area,neighbourhood
110565870,yes,"POLYGON ((11.9596411 47.8270297, 11.9596224 47.8269602, 11.9594032 47.8269868, 11.9594219 47.8270563, 11.9596411 47.8270297))",,,,,,11.959522149999996,47.82700824999999,1.5731819999735806e-08,2
110565871,yes,"POLYGON ((11.9859657 47.8207194, 11.9859227 47.8206258, 11.985794 47.8206402, 11.9858369 47.820741, 11.9859657 47.8207194))",,,,,,11.985879163856225,47.82068189887835,1.3287599999669506e-08,2
110565872,yes,"POLYGON ((11.98001 47.8232198, 11.9799929 47.8230939, 11.9797092 47.8231112, 11.9797263 47.8232372, 11.98001 47.8232198))",,,,,,11.979859581451528,47.82316552663666,3.602869999926317e-08,2
110565873,yes,"POLYGON ((11.9691796 47.825203, 11.9688412 47.8252928, 11.9690021 47.8255661, 11.9693022 47.8254864, 11.9692402 47.8253811, 11.9692785 47.8253709, 11.9691796 47.825203))",,,,,,11.969081750442651,47.82538252253136,1.0226571500040975e-07,2
110565874,yes,"POLYGON ((11.9752449 47.822939, 11.9750202 47.8228885, 11.975059 47.8228106, 11.9748943 47.8227735, 11.974849 47.8228641, 11.9746621 47.822822, 11.9745847 47.8229769, 11.9751612 47.8231067, 11.9752449 47.822939))",,,,,,11.974923365767932,47.822945465335344,1.191274100000347e-07,2
110566489,yes,"POLYGON ((11.9745772 47.804511, 11.9745642 47.8043961, 11.9742808 47.8044106, 11.9742716 47.8043291, 11.974118 47.8043369, 11.9741402 47.8045333, 11.9745772 47.804511))",,,,,,11.974321711478847,47.804446555899816,6.308181000089021e-08,2
110741948,yes,"POLYGON ((11.9718726 47.8239381, 11.9720488 47.8239172, 11.9720155 47.8237907, 11.9718394 47.8238116, 11.9718726 47.8239381))",,,,,,11.971944077860597,47.823864405645075,2.2977899999361705e-08,2
110741950,house,"POLYGON ((11.9681951 47.823787, 11.9681374 47.8236546, 11.9679864 47.8236842, 11.9680441 47.8238167, 11.9681951 47.823787))",,,,,,11.968090742526087,47.823735629651885,2.171075500059076e-08,2
110741953,yes,"POLYGON ((11.9728168 47.8238503, 11.9725911 47.8238628, 11.97261 47.8240172, 11.9728357 47.8240047, 11.9728168 47.8238503))",,,,,,11.9727134,47.82393375,3.508433000064237e-08,2
110741954,yes,"POLYGON ((11.9780442 47.8235349, 11.9778539 47.8234551, 11.9777584 47.8235577, 11.9779487 47.8236376, 11.9780442 47.8235349))",,,,,,11.97790130831304,47.82354633267015,2.715997000020479e-08,2
