,building,geometry,amenity,healthcare,healthcare:speciality,building:levels,school_type,type,members,building_coordinates_x,building_coordinates_y,building_area,neighbourhood
264127176,yes,"POLYGON ((5.9998647 50.9911114, 5.999848 50.9911201, 5.9997843 50.991072, 5.9998909 50.9910158, 5.9998635 50.9909951, 5.9999147 50.9909681, 5.9999505 50.9909951, 5.9999725 50.9909836, 5.999984 50.9909924, 5.9999778 50.9909957, 6.0000249 50.9910315, 6.000094 50.9910844, 5.9999372 50.9911671, 5.9998647 50.9911114))",,,,,,,,5.999939555459196,50.99106995182646,3.062552999987466e-08,3
264139147,yes,"POLYGON ((6.0050564 50.9880812, 6.0051152 50.9880425, 6.0051429 50.9880577, 6.0053292 50.9881613, 6.005231 50.9882318, 6.0053518 50.9882988, 6.0053486 50.9883012, 6.0052237 50.9883906, 6.0051015 50.9883228, 6.0051384 50.9882959, 6.0050092 50.9882246, 6.0050356 50.9882058, 6.0050525 50.9882152, 6.0051629 50.9881359, 6.0050564 50.9880812))",,,,,,,,6.005188772262585,50.9882248735239,5.4730630000405355e-08,3
264139165,yes,"POLYGON ((6.0054268 50.988157, 6.0055451 50.9880729, 6.0057612 50.9881937, 6.005643 50.9882779, 6.0054268 50.988157))",,,,,,,,6.005594024144409,50.98817538232486,3.247953500039267e-08,3
264142880,yes,"POLYGON ((5.9789489 50.9840435, 5.9789817 50.9840259, 5.9789643 50.9840129, 5.9790275 50.9839781, 5.9790037 50.9839608, 5.9791222 50.9838958, 5.9794462 50.9841318, 5.9794329 50.9841452, 5.9794448 50.9841537, 5.9794011 50.9841777, 5.979351 50.9842291, 5.9793414 50.9842252, 5.9793226 50.9842354, 5.9792873 50.9842078, 5.9792955 50.9842033, 5.9792258 50.9841581, 5.9792227 50.9841596, 5.9791809 50.9841286, 5.979113 50.9841652, 5.9789489 50.9840435))",,,,,,,,5.979191987072565,50.98406711299143,7.913318499973356e-08,3
264142954,yes,"POLYGON ((5.9793426 50.9852725, 5.9791562 50.9851993, 5.9793628 50.9849944, 5.9793551 50.98499, 5.9794061 50.9849528, 5.9794777 50.9849761, 5.9795985 50.9850153, 5.9794935 50.9851209, 5.9793426 50.9852725))",,,,,,,,5.979375910726456,50.98510993896677,6.525844000019746e-08,3
264159914,yes,"POLYGON ((5.9717963 51.0048644, 5.9717595 51.0048236, 5.9718346 51.0047863, 5.9718065 51.0047637, 5.9719061 51.0047143, 5.9719102 51.0047175, 5.9719343 51.0047057, 5.9720279 51.0047815, 5.9720711 51.0047602, 5.9721331 51.0048102, 5.9719725 51.00489, 5.9718879 51.0048218, 5.9717963 51.0048644))",,,,,,,,5.9719439657018984,51.00480057374529,3.327488500055134e-08,3
264159932,yes,"POLYGON ((5.977821 51.002423, 5.9779455 51.002367, 5.9782164 51.0026073, 5.9780931 51.0026627, 5.977821 51.002423))",,,,,,,,5.978018774308911,51.002514798192045,4.4858550000457246e-08,3
264159974,yes,"POLYGON ((5.9687314 51.0077196, 5.9687665 51.0076055, 5.9691557 51.0076536, 5.969115 51.0077703, 5.9687314 51.0077196))",,,,,,,,5.968943075192124,51.0076872501626,4.646282000072847e-08,3
264160050,yes,"POLYGON ((5.9739606 51.0025335, 5.9738752 51.0025819, 5.9737606 51.0024931, 5.9739975 51.0023741, 5.9741058 51.0024599, 5.9739606 51.0025335))",,,,,,,,5.973933357638801,51.002477110689505,3.346498000034697e-08,3
264160084,yes,"POLYGON ((5.9685702 51.0085805, 5.9686402 51.00843, 5.9688423 51.0084655, 5.9688071 51.0085416, 5.9687715 51.0086179, 5.9685702 51.0085805))",,,,,,,,5.968706292666691,51.00852352404113,3.312524500017768e-08,3
